timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1736372759799,213,get_characters,200,OK,Thread Group 1-20,text,true,,8565,161,171,171,http://10.0.107.201:3001/characters,205,0,50
1736372759830,1168,get_characters,200,OK,Thread Group 1-78,text,true,,8565,161,663,663,http://10.0.107.201:3001/characters,175,0,20
1736372759801,1208,get_characters,200,OK,Thread Group 1-48,text,true,,8565,161,669,669,http://10.0.107.201:3001/characters,1201,0,49
1736372759822,1208,get_characters,200,OK,Thread Group 1-75,text,true,,8565,161,679,679,http://10.0.107.201:3001/characters,1187,0,29
1736372759800,1230,get_characters,200,OK,Thread Group 1-24,text,true,,8565,161,680,680,http://10.0.107.201:3001/characters,1229,0,49
1736372759801,1241,get_characters,200,OK,Thread Group 1-64,text,true,,8565,161,686,686,http://10.0.107.201:3001/characters,1241,0,50
1736372759799,1287,get_characters,200,OK,Thread Group 1-12,text,true,,8565,161,708,708,http://10.0.107.201:3001/characters,1243,0,120
1736372759830,1258,get_characters,200,OK,Thread Group 1-79,text,true,,8565,161,708,708,http://10.0.107.201:3001/characters,1257,0,90
1736372759800,1319,get_characters,200,OK,Thread Group 1-55,text,true,,8565,161,724,724,http://10.0.107.201:3001/characters,1289,0,120
1736372759805,1315,get_characters,200,OK,Thread Group 1-66,text,true,,8565,161,724,724,http://10.0.107.201:3001/characters,1314,0,116
1736372759799,1378,get_characters,200,OK,Thread Group 1-9,text,true,,8565,161,753,753,http://10.0.107.201:3001/characters,1321,0,121
1736372759799,1387,get_characters,200,OK,Thread Group 1-25,text,true,,8565,161,758,758,http://10.0.107.201:3001/characters,1387,0,121
1736372759799,1398,get_characters,200,OK,Thread Group 1-33,text,true,,8565,161,764,764,http://10.0.107.201:3001/characters,1391,0,121
1736372759799,1447,get_characters,200,OK,Thread Group 1-8,text,true,,8565,161,788,788,http://10.0.107.201:3001/characters,1399,0,121
1736372759800,2409,get_characters,200,OK,Thread Group 1-22,text,true,,8565,161,1269,1269,http://10.0.107.201:3001/characters,1952,0,120
1736372759800,2423,get_characters,200,OK,Thread Group 1-37,text,true,,8565,161,1275,1275,http://10.0.107.201:3001/characters,2412,0,121
1736372759801,2427,get_characters,200,OK,Thread Group 1-60,text,true,,8565,161,1278,1278,http://10.0.107.201:3001/characters,2423,0,120
1736372759800,2430,get_characters,200,OK,Thread Group 1-39,text,true,,8565,161,1279,1279,http://10.0.107.201:3001/characters,2428,0,121
1736372759800,2439,get_characters,200,OK,Thread Group 1-49,text,true,,8565,161,1284,1284,http://10.0.107.201:3001/characters,2431,0,121
1736372759800,2445,get_characters,200,OK,Thread Group 1-61,text,true,,8565,161,1286,1286,http://10.0.107.201:3001/characters,2440,0,121
1736372759799,2452,get_characters,200,OK,Thread Group 1-18,text,true,,8565,161,1290,1290,http://10.0.107.201:3001/characters,2445,0,121
1736372759799,2454,get_characters,200,OK,Thread Group 1-27,text,true,,8565,161,1291,1291,http://10.0.107.201:3001/characters,2453,0,121
1736372759800,2458,get_characters,200,OK,Thread Group 1-19,text,true,,8565,161,1294,1294,http://10.0.107.201:3001/characters,2457,0,120
1736372759801,2463,get_characters,200,OK,Thread Group 1-57,text,true,,8565,161,1296,1296,http://10.0.107.201:3001/characters,2459,0,120
1736372759818,2453,get_characters,200,OK,Thread Group 1-73,text,true,,8565,161,1300,1300,http://10.0.107.201:3001/characters,2450,0,103
1736372759800,2476,get_characters,200,OK,Thread Group 1-42,text,true,,8565,161,1302,1302,http://10.0.107.201:3001/characters,2471,0,121
1736372759799,2494,get_characters,200,OK,Thread Group 1-30,text,true,,8565,161,1311,1311,http://10.0.107.201:3001/characters,2476,0,121
1736372759801,2495,get_characters,200,OK,Thread Group 1-36,text,true,,8565,161,1312,1312,http://10.0.107.201:3001/characters,2493,0,120
1736372759800,2510,get_characters,200,OK,Thread Group 1-54,text,true,,8565,161,1319,1319,http://10.0.107.201:3001/characters,2496,0,121
1736372759806,2506,get_characters,200,OK,Thread Group 1-67,text,true,,8565,161,1320,1320,http://10.0.107.201:3001/characters,2505,0,115
1736372759799,2530,get_characters,200,OK,Thread Group 1-13,text,true,,8565,161,1329,1329,http://10.0.107.201:3001/characters,2527,0,121
1736372759798,2535,get_characters,200,OK,Thread Group 1-31,text,true,,8565,161,1330,1330,http://10.0.107.201:3001/characters,2531,0,122
1736372759814,2525,get_characters,200,OK,Thread Group 1-71,text,true,,8565,161,1334,1334,http://10.0.107.201:3001/characters,2520,0,106
1736372759810,2538,get_characters,200,OK,Thread Group 1-68,text,true,,8565,161,1338,1338,http://10.0.107.201:3001/characters,2538,0,111
1736372759800,2550,get_characters,200,OK,Thread Group 1-6,text,true,,8565,161,1339,1339,http://10.0.107.201:3001/characters,2549,0,120
1736372759800,2558,get_characters,200,OK,Thread Group 1-44,text,true,,8565,161,1343,1343,http://10.0.107.201:3001/characters,2556,0,121
1736372759799,2559,get_characters,200,OK,Thread Group 1-32,text,true,,8565,161,1343,1343,http://10.0.107.201:3001/characters,2559,0,121
1736372759800,2567,get_characters,200,OK,Thread Group 1-38,text,true,,8565,161,1347,1347,http://10.0.107.201:3001/characters,2566,0,121
1736372759800,2569,get_characters,200,OK,Thread Group 1-51,text,true,,8565,161,1348,1348,http://10.0.107.201:3001/characters,2568,0,121
1736372759798,2584,get_characters,200,OK,Thread Group 1-3,text,true,,8565,161,1355,1355,http://10.0.107.201:3001/characters,2571,0,123
1736372759800,2590,get_characters,200,OK,Thread Group 1-4,text,true,,8565,161,1360,1360,http://10.0.107.201:3001/characters,2589,0,120
1736372759799,2598,get_characters,200,OK,Thread Group 1-7,text,true,,8565,161,1362,1362,http://10.0.107.201:3001/characters,2593,0,121
1736372759799,2600,get_characters,200,OK,Thread Group 1-14,text,true,,8565,161,1363,1363,http://10.0.107.201:3001/characters,2598,0,122
1736372759801,2618,get_characters,200,OK,Thread Group 1-62,text,true,,8565,161,1373,1373,http://10.0.107.201:3001/characters,2612,0,121
1736372759800,2619,get_characters,200,OK,Thread Group 1-46,text,true,,8565,161,1373,1373,http://10.0.107.201:3001/characters,2619,0,121
1736372759832,2587,get_characters,200,OK,Thread Group 1-80,text,true,,8565,161,1373,1373,http://10.0.107.201:3001/characters,2587,0,90
1736372759801,2631,get_characters,200,OK,Thread Group 1-47,text,true,,8565,161,1380,1380,http://10.0.107.201:3001/characters,2630,0,121
1736372759800,2633,get_characters,200,OK,Thread Group 1-17,text,true,,8565,161,1382,1382,http://10.0.107.201:3001/characters,2633,0,121
1736372759800,2641,get_characters,200,OK,Thread Group 1-11,text,true,,8565,161,1385,1385,http://10.0.107.201:3001/characters,2637,0,121
1736372759799,2644,get_characters,200,OK,Thread Group 1-43,text,true,,8565,161,1386,1386,http://10.0.107.201:3001/characters,2644,0,123
1736372759798,2651,get_characters,200,OK,Thread Group 1-23,text,true,,8565,161,1389,1389,http://10.0.107.201:3001/characters,2651,0,123
1736372759800,2653,get_characters,200,OK,Thread Group 1-45,text,true,,8565,161,1391,1391,http://10.0.107.201:3001/characters,2653,0,122
1736372759799,2657,get_characters,200,OK,Thread Group 1-29,text,true,,8565,161,1393,1393,http://10.0.107.201:3001/characters,2657,0,122
1736372759812,2653,get_characters,200,OK,Thread Group 1-70,text,true,,8565,161,1397,1397,http://10.0.107.201:3001/characters,2653,0,110
1736372759801,2669,get_characters,200,OK,Thread Group 1-59,text,true,,8565,161,1399,1399,http://10.0.107.201:3001/characters,2669,0,121
1736372759799,2719,get_characters,200,OK,Thread Group 1-26,text,true,,8565,161,1422,1422,http://10.0.107.201:3001/characters,2719,0,122
1736372759800,2720,get_characters,200,OK,Thread Group 1-40,text,true,,8565,161,1425,1425,http://10.0.107.201:3001/characters,2719,0,122
1736372759800,2723,get_characters,200,OK,Thread Group 1-35,text,true,,8565,161,1425,1425,http://10.0.107.201:3001/characters,2723,0,122
1736372759800,2733,get_characters,200,OK,Thread Group 1-10,text,true,,8565,161,1430,1430,http://10.0.107.201:3001/characters,2727,0,121
1736372759804,2731,get_characters,200,OK,Thread Group 1-65,text,true,,8565,161,1432,1432,http://10.0.107.201:3001/characters,2731,0,118
1736372759800,2736,get_characters,200,OK,Thread Group 1-16,text,true,,8565,161,1432,1432,http://10.0.107.201:3001/characters,2735,0,121
1736372759800,2746,get_characters,200,OK,Thread Group 1-58,text,true,,8565,161,1437,1437,http://10.0.107.201:3001/characters,2746,0,122
1736372759799,2751,get_characters,200,OK,Thread Group 1-52,text,true,,8565,161,1439,1439,http://10.0.107.201:3001/characters,2749,0,123
1736372759800,2782,get_characters,200,OK,Thread Group 1-56,text,true,,8565,161,1455,1455,http://10.0.107.201:3001/characters,2782,0,135
1736372759824,2774,get_characters,200,OK,Thread Group 1-76,text,true,,8565,161,1463,1463,http://10.0.107.201:3001/characters,2773,0,112
1736372759799,2805,get_characters,200,OK,Thread Group 1-34,text,true,,8565,161,1466,1466,http://10.0.107.201:3001/characters,2805,0,193
1736372759811,2809,get_characters,200,OK,Thread Group 1-69,text,true,,8565,161,1474,1474,http://10.0.107.201:3001/characters,2808,0,181
1736372759800,2823,get_characters,200,OK,Thread Group 1-41,text,true,,8565,161,1476,1476,http://10.0.107.201:3001/characters,2823,0,192
1736372759799,2824,get_characters,200,OK,Thread Group 1-2,text,true,,8565,161,1477,1477,http://10.0.107.201:3001/characters,2824,0,192
1736372759799,2832,get_characters,200,OK,Thread Group 1-1,text,true,,8565,161,1480,1480,http://10.0.107.201:3001/characters,2832,0,192
1736372759798,2834,get_characters,200,OK,Thread Group 1-15,text,true,,8565,161,1481,1481,http://10.0.107.201:3001/characters,2834,0,193
1736372759798,2836,get_characters,200,OK,Thread Group 1-21,text,true,,8565,161,1482,1482,http://10.0.107.201:3001/characters,2836,0,193
